req_id,input_length,decode_length,arrival_time,to_server_time,finish_time,server_latency,total_latency,ttft,queue_time,success,error
req_56,301,162,0.022491455078125,0.022494792938232422,3.451824903488159,3.4293301105499268,3.429333448410034,0.2592613697052002,3.337860107421875e-06,True,
req_98,269,164,0.0342402458190918,0.03424191474914551,3.501269817352295,3.4670279026031494,3.467029571533203,0.6160273551940918,1.6689300537109375e-06,True,
req_41,510,165,0.01782083511352539,0.017822980880737305,3.522028923034668,3.5042059421539307,3.5042080879211426,0.4433012008666992,2.1457672119140625e-06,True,
req_80,698,165,0.02949380874633789,0.0294952392578125,3.5225698947906494,3.493074655532837,3.4930760860443115,0.6209287643432617,1.430511474609375e-06,True,
req_116,667,76,0.037618398666381836,0.037619590759277344,3.523019790649414,3.4854001998901367,3.4854013919830322,1.9283263683319092,1.1920928955078125e-06,True,
req_53,714,166,0.021637916564941406,0.021639347076416016,3.5362539291381836,3.5146145820617676,3.514616012573242,0.6278324127197266,1.430511474609375e-06,True,
req_62,680,162,0.02429032325744629,0.024292469024658203,3.5490896701812744,3.524797201156616,3.524799346923828,0.6195011138916016,2.1457672119140625e-06,True,
req_4,336,167,0.002406597137451172,0.0024094581604003906,3.6528775691986084,3.650468111038208,3.6504709720611572,0.3152153491973877,2.86102294921875e-06,True,
req_27,519,172,0.012728691101074219,0.01273202896118164,3.6568877696990967,3.644155740737915,3.6441590785980225,0.44882845878601074,3.337860107421875e-06,True,
req_7,699,173,0.00391840934753418,0.0039212703704833984,3.672530174255371,3.6686089038848877,3.668611764907837,0.2782900333404541,2.86102294921875e-06,True,
req_111,339,93,0.0369412899017334,0.03694272041320801,3.7042675018310547,3.6673247814178467,3.6673262119293213,1.7778830528259277,1.430511474609375e-06,True,
req_26,358,174,0.01123046875,0.011232614517211914,3.7046663761138916,3.6934337615966797,3.6934359073638916,0.45004916191101074,2.1457672119140625e-06,True,
req_29,280,170,0.013494253158569336,0.013496637344360352,3.722123861312866,3.708627223968506,3.708629608154297,0.5213503837585449,2.384185791015625e-06,True,
req_126,675,75,0.03901934623718262,0.03902029991149902,3.7225725650787354,3.6835522651672363,3.6835532188415527,2.099666118621826,9.5367431640625e-07,True,
req_60,455,176,0.023722171783447266,0.023724079132080078,3.738260269165039,3.714536190032959,3.714538097381592,0.6256396770477295,1.9073486328125e-06,True,
req_119,532,81,0.03802943229675293,0.03803110122680664,3.7411561012268066,3.703125,3.7031266689300537,2.0530972480773926,1.6689300537109375e-06,True,
req_50,752,176,0.02066779136657715,0.02066946029663086,3.741594076156616,3.7209246158599854,3.720926284790039,0.6299526691436768,1.6689300537109375e-06,True,
req_18,477,181,0.008320093154907227,0.00832223892211914,3.863090991973877,3.854768753051758,3.8547708988189697,0.4519631862640381,2.1457672119140625e-06,True,
req_48,536,175,0.020081520080566406,0.020084857940673828,3.874133586883545,3.854048728942871,3.8540520668029785,0.5154597759246826,3.337860107421875e-06,True,
req_22,406,182,0.009827613830566406,0.00982975959777832,3.8838820457458496,3.8740522861480713,3.874054431915283,0.4518601894378662,2.1457672119140625e-06,True,
req_2,631,176,0.0015265941619873047,0.001529693603515625,3.8968677520751953,3.8953380584716797,3.895341157913208,0.5322506427764893,3.0994415283203125e-06,True,
req_44,388,177,0.01874566078186035,0.018747329711914062,3.908252477645874,3.88950514793396,3.8895068168640137,0.5150835514068604,1.6689300537109375e-06,True,
req_83,289,177,0.03028583526611328,0.03028726577758789,3.90869140625,3.878404140472412,3.8784055709838867,0.6131875514984131,1.430511474609375e-06,True,
req_52,737,184,0.021274805068969727,0.02127814292907715,3.9090499877929688,3.8877718448638916,3.887775182723999,0.4391324520111084,3.337860107421875e-06,True,
req_132,317,74,0.03984689712524414,0.03984832763671875,3.9262735843658447,3.886425256729126,3.8864266872406006,2.2728188037872314,1.430511474609375e-06,True,
req_24,490,185,0.010521888732910156,0.01052546501159668,3.9363226890563965,3.9257972240448,3.9258008003234863,0.4499340057373047,3.5762786865234375e-06,True,
req_84,415,185,0.0305325984954834,0.03053426742553711,3.939046621322632,3.9085123538970947,3.9085140228271484,0.6203136444091797,1.6689300537109375e-06,True,
req_12,682,185,0.005938291549682617,0.005940675735473633,3.9396181106567383,3.9336774349212646,3.9336798191070557,0.45552659034729004,2.384185791015625e-06,True,
req_90,317,185,0.03211641311645508,0.03211808204650879,3.940046548843384,3.907928466796875,3.9079301357269287,0.6189308166503906,1.6689300537109375e-06,True,
